n_cltr_u,n_cltr_i,n_epochs,random_state,rmse,mae,fcp
1,1,10,2024,0.9931552063437215,0.6287962576475896,0.497762493113033
1,1,20,2024,0.9931552063437215,0.6287962576475896,0.497762493113033
1,1,30,2024,0.9931552063437215,0.6287962576475896,0.497762493113033
1,1,40,2024,0.9931552063437215,0.6287962576475896,0.497762493113033
1,1,50,2024,0.9931552063437215,0.6287962576475896,0.497762493113033
1,2,10,2024,0.9931552063437215,0.6287962576475896,0.49775982833144533
1,2,20,2024,0.9931552063437215,0.6287962576475896,0.497762493113033
1,2,30,2024,0.9931552063437215,0.6287962576475896,0.4977680584046856
1,2,40,2024,0.9931552063437215,0.6287962576475896,0.4977654732869854
1,2,50,2024,0.9931552063437215,0.6287962576475896,0.49776537901149603
1,3,10,2024,0.9931552063437215,0.6287962576475896,0.4977737366102918
1,3,20,2024,0.9931552063437215,0.6287962576475896,0.49776813804432757
1,3,30,2024,0.9931552063437215,0.6287962576475896,0.49777118478468874
1,3,40,2024,0.9931552063437215,0.6287962576475896,0.4977791744023551
1,3,50,2024,0.9931552063437215,0.6287962576475896,0.4977905626072913
1,4,10,2024,0.9931552063437215,0.6287962576475896,0.49778525201235746
1,4,20,2024,0.9931552063437215,0.6287962576475896,0.49779923859670294
1,4,30,2024,0.9931552063437215,0.6287962576475896,0.49779051625076143
1,4,40,2024,0.9931552063437215,0.6287962576475896,0.4977709297242777
1,4,50,2024,0.9931552063437215,0.6287962576475896,0.4977961904504277
1,5,10,2024,0.9931552063437215,0.6287962576475896,0.4977903876418875
1,5,20,2024,0.9931552063437215,0.6287962576475897,0.49777658039567096
1,5,30,2024,0.9931552063437217,0.6287962576475896,0.49777925698068326
1,5,40,2024,0.9931552063437215,0.6287962576475896,0.4977792872903425
1,5,50,2024,0.9931552063437215,0.6287962576475896,0.4977797170723951
2,1,10,2024,0.9931552063437215,0.6287962576475896,0.497762493113033
2,1,20,2024,0.9931552063437215,0.6287962576475896,0.497762493113033
2,1,30,2024,0.9931552063437215,0.6287962576475896,0.497762493113033
2,1,40,2024,0.9931552063437215,0.6287962576475898,0.497762493113033
2,1,50,2024,0.9931552063437215,0.6287962576475896,0.497762493113033
2,2,10,2024,0.994287906099912,0.6285698552735699,0.5023228210147723
2,2,20,2024,0.9942934633116309,0.6285761223364619,0.5022867193947566
2,2,30,2024,0.9942934633116309,0.6285761223364619,0.5022867193947566
2,2,40,2024,0.9942934633116309,0.6285761223364619,0.5022867193947566
2,2,50,2024,0.9942934633116309,0.6285761223364619,0.5022867193947566
2,3,10,2024,0.9998597950382846,0.6277213766877843,0.504822705787996
2,3,20,2024,1.0013689833736616,0.6283971845897022,0.5042386530132844
2,3,30,2024,1.0013295536818898,0.6278717720135354,0.50493977065934
2,3,40,2024,1.0029570073077294,0.6288138625344268,0.5038326725536633
2,3,50,2024,1.0029413730043464,0.6287935802483454,0.5038233546647384
2,4,10,2024,0.9906664735755312,0.6227862719091783,0.5044111389464636
2,4,20,2024,0.9934447598891708,0.6233591689004516,0.5050157368254521
2,4,30,2024,0.9944787628891408,0.6240687627102648,0.5055796418096866
2,4,40,2024,0.9947701772062635,0.6241883238447985,0.5054203271476125
2,4,50,2024,0.9950662661412611,0.6243657154971307,0.5056628111063338
2,5,10,2024,0.9985220091490644,0.6260915029213063,0.5052414157925877
2,5,20,2024,1.0012843147003034,0.6265535013444096,0.5072102186381867
2,5,30,2024,1.0027117303748405,0.6271603083064498,0.5056349252973604
2,5,40,2024,1.004388466335545,0.6286265389286372,0.5057743877891623
2,5,50,2024,1.004572866041078,0.6287865025643968,0.5055457859585422
3,1,10,2024,0.9931552063437215,0.6287962576475896,0.497762493113033
3,1,20,2024,0.9931552063437215,0.6287962576475896,0.497762493113033
3,1,30,2024,0.9931552063437215,0.6287962576475896,0.497762493113033
3,1,40,2024,0.9931552063437215,0.6287962576475896,0.497762493113033
3,1,50,2024,0.9931552063437215,0.6287962576475896,0.497762493113033
3,2,10,2024,1.0039149333804822,0.6317211123179727,0.5015890520827748
3,2,20,2024,1.0054769025681252,0.6313650209634535,0.502134137854364
3,2,30,2024,1.0054512678684373,0.6312287884820501,0.5017300578616706
3,2,40,2024,1.004903514846426,0.6307305961705538,0.5023190543568391
3,2,50,2024,1.0048637512390994,0.6306194864338343,0.5025272818520767
3,3,10,2024,1.016662619669032,0.6357533822065802,0.5035716654382788
3,3,20,2024,1.0280009717883856,0.6410628451102058,0.5010538659874707
3,3,30,2024,1.037591655774079,0.6470427863490358,0.500243805670767
3,3,40,2024,1.0387165909857523,0.6476103799103197,0.5012269567722119
3,3,50,2024,1.0390134228594339,0.6478518147961575,0.5011986999258096
3,4,10,2024,1.0147668067001485,0.63187385649871,0.5030699368362465
3,4,20,2024,1.0359490099342687,0.6437303981404463,0.5023295838180335
3,4,30,2024,1.0440859586763598,0.648441151287354,0.5018167505680736
3,4,40,2024,1.0463495581850157,0.6494732518629311,0.5003735113118993
3,4,50,2024,1.0508163931608248,0.6534340428993957,0.4993797654717998
3,5,10,2024,1.021814621228063,0.6348893942750815,0.5111502237915337
3,5,20,2024,1.0348820548888897,0.6421050646289601,0.5082330497528477
3,5,30,2024,1.032374097054209,0.6390858801197812,0.5083626973212427
3,5,40,2024,1.0314826338737795,0.6383713061619195,0.5085991029730478
3,5,50,2024,1.0315224561823573,0.6383793541767557,0.5086371724121257
4,1,10,2024,0.9931552063437215,0.6287962576475896,0.497762493113033
4,1,20,2024,0.9931552063437215,0.6287962576475896,0.497762493113033
4,1,30,2024,0.9931552063437215,0.6287962576475896,0.497762493113033
4,1,40,2024,0.9931552063437217,0.6287962576475896,0.497762493113033
4,1,50,2024,0.9931552063437215,0.6287962576475896,0.497762493113033
4,2,10,2024,1.0020063366449448,0.6305536185888572,0.5011438502142604
4,2,20,2024,1.0027606178974562,0.6303698244543576,0.5015658639042919
4,2,30,2024,1.0020044948858864,0.6297844164815298,0.5021628504214126
4,2,40,2024,1.0020364081837032,0.6298124740618298,0.5017505369957136
