k,RMSE,MAE,FCP
10,0.9639448167917797,0.5775781555530518,0.5760691616537204
20,0.9637389056616673,0.5792229983558798,0.5764996238003255
30,0.9638008481500057,0.5796907538819775,0.5808495323000853
40,0.963825048069044,0.5798479476546861,0.5821618092112689
50,0.963844229514045,0.5799380108527531,0.5841393890017285
