rmse,mae,fcp,method,reg,learning_rate,n_epochs
1.0110921711265348,0.7656267210718524,0.5168585553608895,sgd,0.01,0.001,5
1.002743793599377,0.7537725337680963,0.5182070996644231,sgd,0.01,0.001,10
0.9919631448771739,0.7405292783380213,0.5193729726675554,sgd,0.01,0.001,20
0.9709935511891148,0.7173041519907182,0.5194451188922515,sgd,0.01,0.001,50
0.988620327492946,0.738832139320789,0.5158053092653793,sgd,0.01,0.005,5
0.9718713467429229,0.7201282285668735,0.5165192847733585,sgd,0.01,0.005,10
0.9511260811590356,0.6959094042585827,0.5170540537509182,sgd,0.01,0.005,20
0.9274914413438271,0.6581149229160206,0.5183283824289528,sgd,0.01,0.005,50
0.9733668605294203,0.7229823045151417,0.5137788000147874,sgd,0.01,0.01,5
0.9524780621946617,0.6983781033408347,0.5147589763234167,sgd,0.01,0.01,10
0.9329580696626276,0.6695551627806313,0.5148332446921864,sgd,0.01,0.01,20
0.9266345340428156,0.6336775296196262,0.5168325716527358,sgd,0.01,0.01,50
0.9404663483281095,0.671992105562847,0.5089779103197057,sgd,0.01,0.05,5
0.9370442508767427,0.6452070775478037,0.5103154612477488,sgd,0.01,0.05,10
0.9503344917485718,0.62836180367288,0.5121545662969351,sgd,0.01,0.05,20
0.9702110865435893,0.6202308772352829,0.5180551295603909,sgd,0.01,0.05,50
1.011243454504413,0.7665834045485431,0.5169424181520548,sgd,0.05,0.001,5
1.0028459481499596,0.7549445109380755,0.5182290317524681,sgd,0.05,0.001,10
0.9920155134474277,0.7418372057209716,0.519255760857703,sgd,0.05,0.001,20
0.9710518130754858,0.7186479573181133,0.5197210698061477,sgd,0.05,0.001,50
0.9886587095886277,0.7400581507642562,0.51574171652638,sgd,0.05,0.005,5
0.971907759770958,0.7213780870243574,0.5167216277805882,sgd,0.05,0.005,10
0.9511892760349276,0.697238152520742,0.517422886353752,sgd,0.05,0.005,20
0.9273571360880075,0.6597960136255041,0.5187510471366331,sgd,0.05,0.005,50
0.9733554774397023,0.7241322389686962,0.5136881599319413,sgd,0.05,0.01,5
0.9524859358580053,0.6996409362066146,0.5148446675081955,sgd,0.05,0.01,10
0.9328806278488859,0.6711149913118704,0.5152109010922017,sgd,0.05,0.01,20
0.9255728043139861,0.6357394338299014,0.5168338220515272,sgd,0.05,0.01,50
0.9397895086363464,0.6731836553304045,0.5097549812756341,sgd,0.05,0.05,5
0.9355711654637732,0.647105501487643,0.5105483238079604,sgd,0.05,0.05,10
0.9471321312357498,0.6308211370887833,0.5123663496352452,sgd,0.05,0.05,20
0.9650679345493792,0.6231556839184007,0.5179000410304545,sgd,0.05,0.05,50
1.0114736992037772,0.7677262898165946,0.517033871221249,sgd,0.1,0.001,5
1.0030444048210825,0.7563423108608096,0.5180821022246135,sgd,0.1,0.001,10
0.9921803977637096,0.7434079468508503,0.5190287433325997,sgd,0.1,0.001,20
0.9712509749212878,0.7203022904964166,0.5195272809495661,sgd,0.1,0.001,50
0.9888124886932907,0.7415595742976724,0.5157866712871708,sgd,0.1,0.005,5
0.9720812714079534,0.7229415518721618,0.5163081019113455,sgd,0.1,0.005,10
0.9514247551876711,0.6989618306654188,0.5172904220667964,sgd,0.1,0.005,20
0.927417593165794,0.6620871363067282,0.5190809020806114,sgd,0.1,0.005,50
0.9734737287137225,0.7255753682684587,0.5135773167584257,sgd,0.1,0.01,5
0.9526596861782645,0.7012807243376384,0.5151224764785916,sgd,0.1,0.01,10
0.9329987114695776,0.673220951351727,0.5156354772502498,sgd,0.1,0.01,20
0.9246165844628058,0.6386651907058607,0.5174628476752041,sgd,0.1,0.01,50
0.9392390610723156,0.6748791587248203,0.5102791773777444,sgd,0.1,0.05,5
0.9341483456767291,0.649648519606224,0.5108628468721743,sgd,0.1,0.05,10
0.9437517125875905,0.6339110851113314,0.5125697818536844,sgd,0.1,0.05,20
0.9591763121536075,0.626304467987347,0.5170832178582528,sgd,0.1,0.05,50
1.012032733025102,0.7698603480579664,0.5169052491646131,sgd,0.2,0.001,5
1.0036105837104192,0.7589455133204106,0.5183981681191577,sgd,0.2,0.001,10
0.9927467840175422,0.7463433810417943,0.5186806234917161,sgd,0.2,0.001,20
0.9719495913027145,0.7235007423339967,0.5196342383263337,sgd,0.2,0.001,50
0.989371649973646,0.7444161678062133,0.515259159922939,sgd,0.2,0.005,5
0.9727342539510968,0.7260089485921762,0.5163330932817323,sgd,0.2,0.005,10
0.9522719065281755,0.7025263089358675,0.5177464701588669,sgd,0.2,0.005,20
0.9281107198449561,0.6671009909749911,0.5195476112777858,sgd,0.2,0.005,50
0.9740287811185862,0.7284288594953855,0.5135722735229212,sgd,0.2,0.01,5
0.9534046123407529,0.7046935754520895,0.5148649353192414,sgd,0.2,0.01,10
0.9337636164662537,0.6777697875772294,0.5158917911680023,sgd,0.2,0.01,20
0.9236598154539042,0.6451790401198711,0.5172717709947656,sgd,0.2,0.01,50
0.9388864683823076,0.6787175431756771,0.5103289179653042,sgd,0.2,0.05,5
0.9323977238170439,0.6551331949670895,0.5112895397015241,sgd,0.2,0.05,10
0.9387463222798347,0.6403444674653536,0.5121739056763726,sgd,0.2,0.05,20
0.9498330313619437,0.6329823331267646,0.5151957343911165,sgd,0.2,0.05,50
